token,embedding
MELBOURNE LOGISTICS OPERATIONS GUIDE COMPANY: Linfox Australia REGION: Victoria DEPOT LOCATIONS:,"[-0.13966128, 0.09645116, 0.04969164, -0.072878495, -0.016464213, 0.05138918, -0.05131202, 0.016001249, -0.03748092, -0.13426001, 0.027565742, 0.119676605, 0.023977758, -0.07611926, 0.007783609, 0.0714896, 0.11975376, 0.089892484, -0.17376642, 0.10856543, 0.12932172, 0.089815326, 0.0055459416, -0.022781765, -0.040972453, 0.11134322, -0.12152846, -0.054359876, -0.06296332, -0.19228503, 0.007026467, -0.09351905, 0.15879719, 0.11388953, -0.027006326, 0.1291674, 0.076505065, 0.006954129, 0.041975547, 0.01534538, -0.1919764, -0.16882811, 0.14776318, 0.06747723, 0.04498482, 0.001909733, -0.06821026, 0.04741539, -0.07237695, 0.113503724, 0.12075686, -0.06076423, 0.05308672, -0.03177101, -0.113117926, 0.09822586, 0.114352494, -0.0036868458, 0.26203853, -0.051582083, -0.016203795, 0.026080394, 0.05555587, 0.028588124, -0.04652804, -0.061844487, -0.0914357, 0.12708405, -0.15833423, -0.021392867, -0.15192987, 0.058372244, 0.053896908, -0.060339846, -0.06755439, -0.076003514, -0.0038725142, 0.059105273, -0.04321012, -0.27623612, -0.12986185, 0.09907463, 0.065702535, -0.15192987, -0.078241184, -0.063426286, -0.06643556, 0.09050977, -0.009288247, -0.15131259, 0.09027829, -0.16512439, 0.015316444, 0.22808771, 0.117130294, 0.03665144, -0.124229096, -0.05061757, -0.08603444, 0.123071685]"
"- Laverton North DC: Primary distribution hub, operates 24/7 - Somerton DC: Cold chain and temperature sensitive freight - Dandenong South: Last mile delivery hub for SE suburbs DELIVERY ZONES:","[-0.104341395, -0.017943101, 0.17223655, 0.037070923, 0.057168055, 0.14750823, 0.052687667, -0.05290307, 0.00036551262, -0.043791506, 0.022638895, 0.0010918259, 0.010167039, 0.07681284, 0.07431416, -0.08305954, 0.05036131, 0.20902744, -0.22763829, 0.18214509, 0.09314042, 0.09055558, 0.17551067, 0.0009922019, -0.10391059, 0.058805123, 0.07961309, -0.067852065, 0.019590937, -0.119074985, 0.083662674, -0.11752408, 0.07108311, 0.07078155, 0.059063606, 0.20161757, 0.04924121, 0.014130462, -0.03315058, 0.056349523, -0.24228571, -0.1453542, -0.03325828, -0.04484698, 0.05871896, -0.0077706766, -0.03491689, -0.06104532, -0.075606585, 0.089263156, 0.11493924, 0.08417964, 0.061433043, -0.099085554, -0.13165455, 0.024491364, 0.0085622845, 0.052773826, 0.23522049, -0.10804634, 0.045450114, -0.04713026, 0.06229466, 0.08288722, 0.005503556, -0.041098963, -0.09245113, 0.037954073, -0.045450114, 0.02737777, -0.09960252, -0.017415363, 0.2588287, -0.14621581, -0.031470433, 0.037264783, 0.08637676, -0.00765759, -0.060269866, -0.11571469, 0.005735115, -0.064664096, 0.006699045, 0.0599683, -0.06406096, -0.23746069, -0.16017395, 0.11011421, -0.07461573, -0.05682341, 0.06565495, -0.1571583, 0.06462102, 0.10459988, -0.036790896, 0.07995773, -0.099085554, -0.10158423, -0.11338834, 0.1551766]"
- Zone 1 (CBD): Same day delivery cutoff 11am - Zone 2 (Inner suburbs): Next day delivery - Zone 3 (Outer suburbs): 2-3 business days - Zone 4 (Regional VIC): 3-5 business days,"[-0.11450903, 0.11172611, 0.17663366, 0.13358022, 0.08929904, 0.13685425, 0.16738454, -0.020994687, 0.10689692, 0.005898361, 0.10010332, 0.075875536, -0.1283418, 0.012615228, 0.030693986, -0.09478303, 0.019797621, 0.09322787, -0.15142366, 0.2347476, 0.13587205, 0.06940933, 0.024759816, -0.0678951, -0.18088989, 0.008819405, 0.029670853, 0.05565843, 0.05107479, -0.07309261, 0.0070647327, -0.04387194, 0.16034539, -0.111153156, -0.090772346, 0.109597996, -0.07673497, 0.08013177, 0.055331025, 0.0808275, -0.26847008, 0.014467099, 0.03511392, -0.068713605, -0.03439773, 0.034070324, -0.108861335, 0.077635325, -0.11794676, 0.12424926, 0.06683104, 0.063638866, -0.030407509, -0.10681507, -0.049765185, 0.016932849, -0.002757343, 0.03748759, 0.17172262, -0.011305618, 0.16108204, -0.0017290945, -0.030960001, 0.055576578, -0.07829013, -0.04972426, 0.058032095, 0.0073972507, 0.004407145, -0.10141293, -0.09977592, 0.03319043, 0.20184365, -0.08618871, 0.0046859486, 0.023306968, 0.16640233, 0.066176236, 0.11884712, -0.06511217, 0.012574303, -0.030202882, 0.01885634, 0.0809912, -0.110825755, -0.13922793, -0.100921825, 0.047637068, -0.0057039657, -0.12539516, 0.14495747, -0.123840004, 0.00043355254, 0.049069453, -0.121630035, -0.06543958, -0.2845128, -0.06814065, -0.08798943, 0.099121116]"
FREIGHT TYPES: - Ambient: Standard palletised freight - Cold chain: 2-8 degrees celsius - Frozen: Below -18 degrees celsius,"[-0.06377804, 0.037868213, 0.062715076, -0.1099412, 0.053072445, 0.042822402, -0.061690073, -0.12679683, 0.12550607, 0.03418579, 0.0503391, 0.10022264, 0.11692642, 0.082683675, 0.009927357, 0.03268625, 0.057324313, 0.15549694, -0.31463835, 0.09088371, 0.09392076, 0.0074170446, -0.023271393, -0.0943004, -0.04684649, 0.0018447704, 0.12641719, 0.059753954, 0.061690073, -0.0071560484, 0.029839013, -0.10371525, 0.14835988, 0.005181966, 0.13810983, -0.08647999, -0.14835988, 0.21016385, -0.015545898, -0.020443141, -0.0034878617, -0.15777473, 0.01787114, 0.0635123, 0.15792659, 0.0367483, -0.07972255, 0.062183592, -0.025321402, -0.05850117, 0.12717646, 0.12322829, -0.04623908, -0.06252526, 0.0943004, 0.124519035, 0.002201861, 0.026498258, 0.20970829, -0.16551921, 0.019000541, -0.061841924, -0.023081578, 0.07194012, 0.09619855, 0.114648625, -0.08260775, 0.08108923, -0.09665411, -0.02103157, 0.007972255, 0.053945597, 0.16157104, -0.20150825, -0.1428932, 0.04950391, -0.013021351, -0.030826055, 0.16020437, 0.03902609, -0.19938232, 0.050756693, 0.03418579, 0.037868213, -0.01934221, -0.18100816, -0.15268767, 0.09300965, -0.15033396, 0.09376891, -0.0902763, -0.0706114, -0.108422674, 0.10599303, -0.048440944, -0.09133927, 0.06730861, -0.07524291, -0.1359839, 0.008313923]"
- Dangerous goods: ADG code compliant vehicles only COMMON DELAY REASONS: - Traffic: Monash Freeway and Westgate Bridge peak hours - Weather: Flooding in Laverton and Derrimut corridors,"[-0.0013624077, 0.06725999, 0.12401354, -0.0005672424, -0.012863357, 0.12523304, -0.096011996, -0.045426294, 0.0107820025, 0.065430745, -0.0036350414, 0.057175685, -0.011643859, 0.04688031, -0.08719409, -0.03480259, 0.091227815, 0.063929826, -0.10422016, 0.1483097, 0.04317491, 0.16303748, 0.023956096, 0.029736985, -0.100655474, 0.009199, 0.117071785, -0.015572049, 0.14859112, -0.008870673, 0.214444, -0.08967999, 0.14371312, -0.0047108964, 0.021845426, 0.124201156, -0.038977027, 0.14268124, -0.09840409, -0.06421125, -0.05337648, -0.10450158, 0.020801818, -0.016826725, -0.080252334, 0.14127412, -0.038132757, -0.14540166, -0.041791253, 0.1472778, 0.05787924, -0.040126167, -0.037358847, -0.08330108, -0.06149083, 0.06632192, -0.013039245, 0.045449745, 0.19943479, -0.1159461, 0.053611, -0.070777774, -0.13752183, -0.0087827295, -0.00051667425, -0.06505552, 0.14999823, 0.11922936, -0.07073087, -0.035107464, -0.10328208, 0.03653803, 0.2808597, -0.19146115, -0.1109743, 0.12954819, 0.017026065, -0.091884464, 0.033723805, -0.06955828, -0.009509738, 0.035975184, -0.18273705, -0.07035564, -0.17570148, -0.046692695, -0.2956813, 0.054314554, -0.025609454, -0.1657579, -0.05290744, -0.076359324, 0.04540284, 0.08841359, -0.12710918, 0.15027966, -0.052954346, 0.05787924, 0.022361368, 0.14802827]"
- Capacity: Peak periods October-December - Customs: International freight clearance at Tullamarine DRIVER SHIFT TIMES: - Early shift: 4am - 12pm,"[-0.11377953, 0.08379927, 0.14262846, -0.109173395, 0.06024335, 0.028323669, 0.05874838, 0.09293072, 0.17357843, -0.041455183, 0.08198106, 0.15846708, -0.013889102, 0.10650669, -0.0033990422, 0.061819132, -0.03606116, 0.05579884, -0.19652827, 0.15062858, 0.10666831, 0.08428413, 0.042222872, 0.07313244, -0.11103201, 0.13422428, -0.043192584, -0.043111775, 0.022667015, -0.13107273, 0.012070892, -0.08137499, 0.1629116, 0.096163094, 0.07058694, -0.003449548, -0.053414963, 0.11394115, -0.16323483, -0.24840786, -0.16905311, -0.085900314, 0.10796126, 0.016010348, -0.12485041, -0.09293072, 0.0042500654, -0.012676963, 0.012202208, 0.15612361, 0.06133428, -0.026747886, -0.13026462, 0.017576028, -0.101981364, 0.0918802, -0.09858738, 0.04448553, 0.21543767, 0.019697273, 0.05789988, 0.034303557, 0.0027273146, -0.08509222, -0.08783974, -0.0024217544, 0.031838875, 0.13810314, -0.067273766, -0.024161989, -0.009212263, 0.13535562, 0.02937419, -0.07737493, -0.04707143, 0.1793967, -0.02789942, 0.0606474, -0.0066516176, -0.152568, -0.12299179, 0.05882919, 0.025798377, 0.017475016, 0.008015275, -0.03076815, -0.13681018, 0.014111328, 0.010096115, -0.15596199, 0.004656637, -0.084364936, 0.09947628, 0.11725433, 0.13212325, -0.05313213, -0.104001604, 0.017283095, 0.025333723, 0.32032818]"
- Day shift: 8am - 4pm - Afternoon shift: 2pm - 10pm - Night shift: 10pm - 6am ESCALATION PROCESS:,"[-0.10453956, 0.099059, 0.275991, -0.02862977, -0.12098123, 0.15198317, 0.20106278, 0.015153328, 0.039140984, -0.028261673, 0.18421212, 0.0746828, -0.122699015, 0.031738143, -0.007055193, 0.05860923, -0.062740095, 0.042985555, -0.21987663, 0.09865001, -0.10036779, 0.061431307, 0.14846581, 0.1617991, -0.122208215, 0.102739975, 0.01062369, 0.06433518, -0.010102219, 0.015286252, 0.06081781, -0.089324884, -0.09431464, -0.06789345, 0.08077685, 0.07783207, -0.06425338, 0.20220798, -0.026380287, -0.00085378066, 0.03474427, -0.09881361, -0.09889541, -0.10175838, -0.080613256, -0.05995892, -0.15108338, 0.005915115, 0.102412775, 0.1489566, 0.082453735, 0.0051738084, 0.04257656, 0.12629819, 0.11885445, 0.023210563, -0.01064414, -0.0035633838, 0.11132891, 0.018292379, 0.05730044, -0.102903575, 0.076973185, 0.03259704, -0.048261613, 0.033230983, -0.04085877, -0.04617573, 0.012576649, 0.11942704, -0.018343503, 0.014458034, 0.060122516, -0.03760725, 0.08817969, 0.1257256, 0.03995898, 0.0068097953, 0.056482445, -0.046789225, -0.12318981, -0.061063208, -0.08621651, 0.09423284, 0.04593033, -0.15942691, -0.28040814, -0.16392589, -0.15942691, -0.22085823, -0.13267854, 0.023783159, -0.011983604, 0.116236866, -0.04094057, 0.04347635, -0.08548031, 0.10036779, 0.015725924, 0.0005269028]"
- Level 1: Driver contacts depot supervisor - Level 2: Depot supervisor contacts operations manager - Level 3: Operations manager contacts state manager - Level 4: State manager contacts national operations,"[0.004556061, 0.03902706, 0.17506424, -0.06383712, -0.02478683, -0.010610482, 0.052454226, -0.03073381, -0.042441927, 0.06597432, 0.21910907, 0.06550971, -0.111412965, 0.006516125, 0.021941107, -0.19866632, 0.041048106, 0.039259363, -0.175343, 0.06959826, 0.06662477, 0.16270567, 0.115501516, 0.012033343, -0.04776169, 0.062210992, 0.0146351475, -0.051339168, -0.07972671, -0.22264008, 0.2062859, -0.07508063, -0.11512983, -0.03902706, 0.034543596, -0.03907352, 0.07419787, 0.13194863, -0.07963379, 0.1024925, 0.12683794, -0.09552338, -0.12758131, -0.04790107, -0.030222742, -0.20219734, -0.04306915, -0.08251435, 0.063744195, -0.0057901754, 0.0090250075, 0.10305002, 0.086602904, 0.094780006, -0.09654551, 0.008612668, 0.19141844, -0.08757858, 0.17246243, -0.038121074, 0.071270846, -0.026041271, 0.009565114, 0.07930856, 0.017260183, -0.027295712, 0.09877563, -0.056542777, 0.007997063, -0.0005662408, -0.09979777, 0.18370594, 0.06964472, -0.097103044, 0.06560263, 0.12525828, -0.006661315, 0.016261276, -0.09394371, -0.04745969, -0.027574476, -0.15443565, -0.053476363, -0.060817167, -0.10026237, -0.26519817, -0.17088278, -0.04776169, -0.021104813, -0.1994097, -0.10490845, 0.12869638, -0.041535944, 0.13129818, 0.066113696, -0.011353855, 0.01978068, -0.038144305, -0.17645806, -0.040072426]"
"LOADING ZONES: - Zone 1 (Port Melbourne): Container handling and maritime freight, 24/7 operations - Zone 2 (Altona): Chemical and hazardous materials loading, ADG certified staff required - Zone 3 (Sunshine): General freight loading dock, capacity 20 pallets per bay","[-0.07761855, 0.16692162, 0.27947447, 0.035729174, 0.12717837, 0.07928777, -0.006130395, 0.020626742, -0.027740782, -0.04035926, 0.11295029, 0.0917274, 0.08306337, 0.1534884, 0.017973881, 0.018271955, -0.024581194, 0.043161158, -0.090058185, 0.05337517, 0.102934994, 0.05889948, -0.020626742, -0.040299647, -0.13266294, 0.08719667, 0.018560093, 0.024004918, 0.03606699, -0.1170041, 0.075989075, -0.09506583, 0.12201174, 0.18138815, 0.02464081, -0.02257416, -0.0664507, 0.13194756, -0.090535104, -0.13377574, -0.22160831, -0.042882957, 0.16628572, 0.033563167, 0.07102117, -0.048963673, -0.16358317, 0.117957935, -0.027701039, 0.101901665, 0.089501776, -0.012837066, 0.037219543, -0.10722726, -0.064582765, 0.123601474, 0.11811691, -0.026190795, 0.17677793, 0.009434052, 0.069351956, 0.010800226, 0.09276072, 0.097768374, -0.16867031, -0.100391425, -0.1287681, -0.012886746, -0.06692762, -0.059217427, 0.052421335, -0.15722425, 0.18727015, -0.18981372, -0.079565965, -0.06688787, 0.020626742, -0.008604411, -0.118514344, -0.006006197, -0.11557334, 0.11255286, -0.024064532, -0.05889948, 0.01700017, -0.044114996, -0.01017427, -0.030463193, -0.07149809, -0.16294728, -0.05707129, -0.072928846, 0.08664026, 0.17169079, 0.06811991, -0.05961486, -0.11612975, -0.02795937, -0.037259288, 0.23798253]"
"- Zone 4 (Campbellfield): Automotive parts and manufacturing components loading - Zone 5 (Epping): Fresh produce and perishables loading, temperature controlled bays - Zone 6 (Dandenong): Retail distribution loading, peak hours 6am-10am - Zone 7 (Laverton): Heavy machinery and oversized freight, crane facilities available","[-0.13163897, 0.12269084, 0.17914708, -0.035239022, 0.11383496, 0.08408474, -0.0027559316, 0.0016950709, -0.04501739, -0.054934133, 0.14289331, 0.088282056, 0.0010464469, 0.020479223, -0.023581088, 0.044210214, 0.07439862, 0.17850134, -0.25885, 0.12462807, 0.056041118, 0.0925255, 0.009732244, -0.05438064, -0.14602977, 0.049491458, 0.07223077, -0.006543896, 0.0032287063, -0.18837196, 0.06651135, -0.14141734, 0.1358824, 0.08316225, -0.019833483, -0.074859865, -0.011542626, 0.1748114, -0.07481374, -0.09280225, -0.13025524, 0.03171051, 0.048015475, -0.064343505, -0.019395301, -0.013664346, -0.17554937, 0.01421784, -0.047784854, 0.07564398, 0.123152085, -0.095754206, 0.08689833, -0.2824657, -0.07781182, 0.14317006, 0.0007333055, 0.06531212, 0.20257826, 0.020905875, 0.14769025, -0.014344681, 0.057470974, 0.10654731, -0.1222296, -0.006301743, -0.07144666, 0.042180743, 0.061068676, -0.080487035, -0.058208965, -0.07495211, 0.23172887, -0.1146652, 0.02307372, 0.008919301, 0.00784691, 0.021228744, 0.0063248053, 0.04088926, -0.07698158, 0.07984129, -0.052766286, -0.1407716, -0.056732982, -0.14261657, -0.07439862, 0.037591368, -0.08920454, -0.019625923, -0.05945432, -0.1188164, 0.08569909, 0.05419614, -0.025437593, 0.03613845, -0.18292928, -0.078457564, -0.06508149, 0.18772621]"
